#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-10-20 00:10:23
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-10-20 02:00:37 GET /Images/Cool-Ideas-button-MO.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3744
2017-10-20 02:00:37 GET /Images/Intake-Forms-Button-MO.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 4229
2017-10-20 02:00:37 GET /Images/Links-Button-MO.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2851
2017-10-20 02:00:37 GET /Images/News-Button-MO.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2778
2017-10-20 02:00:37 GET /Images/Pricing-button-MO.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 1931
2017-10-20 02:00:37 GET /Images/Pricing-button.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 1711
2017-10-20 02:00:37 GET /Images/Therapy-services.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 1492
2017-10-20 02:00:37 GET /Images/Vision-Button.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 2957
2017-10-20 02:00:37 GET /Images/contact-us-button.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 3759
2017-10-20 02:00:37 GET /images/bottombar.jpg 157.55.39.69 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - birdkernanddalmia.com 200 0 1851
2017-10-20 02:15:46 GET /jakarta/isapi_redirect.dll 23.81.205.33 HTTP/1.1 Mozilla/5.0+(Macintosh;+Intel+Mac+OS+X+10.9;+rv:29.0)+Gecko/20100101+Firefox/29.0 - www.birdkernanddalmia.com 200 0 6547
2017-10-20 02:23:55 GET / 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 https://www.google.com/ www.birdkernanddalmia.com 200 0 6423
2017-10-20 02:23:56 GET /cssone.css 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 876
2017-10-20 02:23:56 GET /Scripts/AC_RunActiveContent.js 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 8613
2017-10-20 02:23:56 GET /Images/Home-button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2885
2017-10-20 02:23:56 GET /images/bottombar.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1851
2017-10-20 02:23:56 GET /Images/Pricing-button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1711
2017-10-20 02:23:56 GET /Images/Cool-Ideas-button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3605
2017-10-20 02:23:56 GET /Images/Adobe-ID-044ASP365792.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 13230
2017-10-20 02:23:56 GET /Images/Equipment-button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3786
2017-10-20 02:23:56 GET /Images/contact-us-button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3759
2017-10-20 02:23:56 GET /Images/Links-Button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2773
2017-10-20 02:23:56 GET /Images/News-Button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2706
2017-10-20 02:23:56 GET /Images/Therapy-services.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1492
2017-10-20 02:23:56 GET /Images/Vision-Button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2957
2017-10-20 02:23:56 GET /Images/Therapist-button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3556
2017-10-20 02:23:56 GET /Images/Intake-Forms-Button.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 4049
2017-10-20 02:23:58 GET /images/NewAddressAnimation.gif 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1453307
2017-10-20 02:23:58 GET /Images/Home-button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 2962
2017-10-20 02:23:58 GET /Images/Vision-Button-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 3058
2017-10-20 02:23:58 GET /Images/Therapy-services-MO.jpg 24.130.53.89 HTTP/1.1 Mozilla/5.0+(Linux;+Android+7.1.2;+Nexus+5X+Build/N2G48C)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/61.0.3163.98+Mobile+Safari/537.36 http://www.birdkernanddalmia.com/ www.birdkernanddalmia.com 200 0 1659
