#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 00:07:43
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 01:58:03 GET /Vision 188.165.196.25 HTTP/1.1 Mozilla/5.0+(X11;+Linux+i686)+AppleWebKit/534.30+(KHTML,+like+Gecko)+Ubuntu/11.04+Chromium/12.0.742.112+Chrome/12.0.742.112+Safari/534.30 - www.birdkernanddalmia.com 404 0 5461
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 02:28:02
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 02:28:02 GET / 46.118.159.26 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.0;+Avant+Browser+[avantbrowser.com];+Hotbar+4.4.5.0) https://stillmiracle.com/ www.birdkernanddalmia.com 200 0 0
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 03:10:31
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 03:10:31 GET /robots.txt 66.249.70.24 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - birdkernanddalmia.com 404 0 5465
2017-09-04 03:10:31 GET /images/Bird+and+Kern+Billing+Form.pdf 66.249.70.20 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - birdkernanddalmia.com 200 0 387503
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 03:30:21
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 03:30:21 GET /robots.txt 46.229.164.99 HTTP/1.1 Mozilla/5.0+(compatible;+SemrushBot/1.2~bl;++http://www.semrush.com/bot.html) - www.birdkernanddalmia.com 404 0 5488
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 03:48:15
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 03:48:15 GET / 188.163.72.15 HTTP/1.1 Mozilla/1.22+(compatible;+MSIE+2.0d;+Windows+NT) https://spb-plitka.ru/ www.birdkernanddalmia.com 200 0 6423
2017-09-04 03:48:16 GET / 188.163.72.15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+en)+Opera+9.0 http://komp-pomosch.ru/ www.birdkernanddalmia.com 200 0 6423
2017-09-04 03:48:16 GET / 188.163.72.15 HTTP/1.1 Mozilla/1.22+(compatible;+MSIE+2.0d;+Windows+NT) https://spb-plitka.ru/ www.birdkernanddalmia.com 200 0 6423
2017-09-04 03:48:17 GET / 188.163.72.15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+6.0;+Windows+NT+5.1;+en)+Opera+9.0 http://komp-pomosch.ru/ www.birdkernanddalmia.com 200 0 0
2017-09-04 03:48:17 GET / 188.163.72.15 HTTP/1.1 Mozilla/1.22+(compatible;+MSIE+2.0d;+Windows+NT) https://spb-plitka.ru/ www.birdkernanddalmia.com 200 0 6423
2017-09-04 03:50:07 GET / 188.163.72.15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+95;+BCD2000) https://ikritikimou.gr/ www.birdkernanddalmia.com 200 0 6423
2017-09-04 03:50:10 GET / 188.163.72.15 HTTP/1.1 Mozilla/4.0+(compatible;+MSIE+5.5;+Windows+95;+BCD2000) https://ikritikimou.gr/ www.birdkernanddalmia.com 200 0 6423
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 04:23:35
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 04:23:35 GET /favicon.ico 73.189.181.255 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36 - www.birdkernanddalmia.com 404 0 5471
2017-09-04 04:23:55 GET /favicon.ico 73.189.181.255 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36 - www.birdkernanddalmia.com 404 0 5471
2017-09-04 04:25:12 GET /favicon.ico 73.189.181.255 HTTP/1.1 Mozilla/5.0+(Windows+NT+6.1;+WOW64)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/50.0.2661.102+Safari/537.36 - www.birdkernanddalmia.com 404 0 5471
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 04:50:20
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 04:50:20 GET /jakarta/isapi_redirect.dll 207.46.13.150 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 7784
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 05:17:19
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 05:17:19 GET / 209.99.135.138 HTTP/1.1 =Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.16+(KHTML,+like+Gecko)+Chrome/10.0.648.204+Safari/534.16 - birdkernanddalmia.com 200 0 6423
2017-09-04 05:23:26 GET / 66.249.70.24 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - birdkernanddalmia.com 200 0 6423
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 06:40:59
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 06:40:59 GET /robots.txt 66.249.64.71 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - www.birdkernanddalmia.com 404 0 5469
2017-09-04 06:40:59 GET /images/Bird+and+Kern+Privacy+Policy.pdf 66.249.64.73 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - www.birdkernanddalmia.com 200 0 404356
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 07:42:34
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 07:42:34 GET /Scripts/AC_RunActiveContent.js 207.46.13.150 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 8613
2017-09-04 07:42:34 GET /cssone.css 207.46.13.150 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 876
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-09-04 08:04:00
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-09-04 08:03:59 GET /marilynrbird.html 73.170.32.123 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_3+like+Mac+OS+X)+AppleWebKit/603.3.8+(KHTML,+like+Gecko)+Version/10.0+Mobile/14G60+Safari/602.1 - www.birdkernanddalmia.com 200 0 7428
2017-09-04 08:04:00 GET /apple-touch-icon-120x120-precomposed.png 73.170.32.123 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.5.4+Darwin/16.7.0 - www.birdkernanddalmia.com 404 0 5529
