#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 01:03:52
#Date: 2017-06-04 07:05:21
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 07:05:21 GET /robots.txt 93.180.64.220 HTTP/1.1 Mozilla/5.0+(compatible;+Plukkie/1.6;+http://www.botje.com/plukkie.htm) - www.birdkernanddalmia.com 404 0 5488
2017-06-04 07:05:21 GET /jakarta/isapi_redirect.dll 93.180.64.220 HTTP/1.1 Mozilla/5.0+(compatible;+Plukkie/1.6;+http://www.botje.com/plukkie.htm) - www.birdkernanddalmia.com 200 0 9024
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 07:40:41
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 07:40:41 GET /robots.txt 52.204.45.145 HTTP/1.1 Mozilla/5.0+(compatible;+Cliqzbot/1.0;++http://cliqz.com/company/cliqzbot) - www.birdkernanddalmia.com 404 0 5469
2017-06-04 07:40:42 GET /jakarta/isapi_redirect.dll 52.204.45.145 HTTP/1.1 Mozilla/5.0+(compatible;+Cliqzbot/1.0;++http://cliqz.com/company/cliqzbot) - www.birdkernanddalmia.com 200 0 9005
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 10:03:25
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 10:03:25 GET /images/Bird+and+Kern+Child+Case+History+Form.pdf 40.77.167.54 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+7_0+like+Mac+OS+X)+AppleWebKit/537.51.1+(KHTML,+like+Gecko)+Version/7.0+Mobile/11A465+Safari/9537.53+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 268801
2017-06-04 10:04:16 GET / 51.255.71.120 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - www.birdkernanddalmia.com 200 0 6719
2017-06-04 10:04:44 GET /robots.txt 151.80.39.13 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - www.birdkernanddalmia.com 404 0 5469
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 10:24:45
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 10:24:44 POST /index.html 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 405 0 5989
2017-06-04 10:24:44 POST /index.html 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 405 0 5989
2017-06-04 10:24:44 POST /index.html/uploadify/uploadify.php 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 404 0 5550
2017-06-04 10:24:44 POST /index.html/uploadify/uploadify.php 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 404 0 5550
2017-06-04 10:24:44 POST /index.html/wp-admin/admin-ajax.php 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 404 0 5541
2017-06-04 10:24:44 POST /index.html/wp-admin/admin-ajax.php 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 404 0 5541
2017-06-04 10:24:44 POST /index.html/license.php 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 404 0 5517
2017-06-04 10:24:44 POST /index.html/license.php 142.54.183.226 HTTP/1.1 Mozilla/5.0+(Windows;+Windows+NT+5.1;+en-US)+Firefox/3.5.0 http://www.birdkernanddalmia.com/index.html/wp-admin/ www.birdkernanddalmia.com 404 0 5517
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 11:14:41
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 11:14:41 GET /robots.txt 95.85.23.232 HTTP/1.0 SafeDNSBot+(https://www.safedns.com/searchbot) - www.birdkernanddalmia.com 404 0 5488
2017-06-04 11:14:41 GET /carolynkern.html 95.85.23.232 HTTP/1.0 SafeDNSBot+(https://www.safedns.com/searchbot) - www.birdkernanddalmia.com 200 0 8102
2017-06-04 11:14:47 GET /therapists.html 95.85.23.232 HTTP/1.0 SafeDNSBot+(https://www.safedns.com/searchbot) - www.birdkernanddalmia.com 200 0 7318
2017-06-04 11:14:52 GET /jakarta/isapi_redirect.dll 95.85.23.232 HTTP/1.0 SafeDNSBot+(https://www.safedns.com/searchbot) - www.birdkernanddalmia.com 200 0 7803
2017-06-04 11:14:57 GET /vision.html 95.85.23.232 HTTP/1.0 SafeDNSBot+(https://www.safedns.com/searchbot) - www.birdkernanddalmia.com 200 0 7755
2017-06-04 11:15:03 GET /anudalmia.html 95.85.23.232 HTTP/1.0 SafeDNSBot+(https://www.safedns.com/searchbot) - www.birdkernanddalmia.com 200 0 7961
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 12:10:21
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 12:10:21 GET /robots.txt 157.55.39.25 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 404 0 5469
2017-06-04 12:10:23 GET / 207.46.13.174 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 6719
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 12:26:28
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 12:26:28 GET /juliemcafee.html 180.76.15.17 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - www.birdkernanddalmia.com 200 0 8066
2017-06-04 12:34:18 GET /robots.txt 84.201.133.65 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - www.birdkernanddalmia.com 404 0 5469
2017-06-04 12:34:22 GET /favicon.ico 5.255.250.60 HTTP/1.1 Mozilla/5.0+(compatible;+YandexBot/3.0;++http://yandex.com/bots) - www.birdkernanddalmia.com 404 0 5471
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 13:05:13
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 13:05:12 GET / 66.11.118.249 HTTP/1.1 Dispatch/0.11.3 - birdkernanddalmia.com 200 0 6719
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 15:13:32
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 15:13:32 GET /cssone.css 180.76.15.6 HTTP/1.1 Mozilla/5.0+(compatible;+Baiduspider/2.0;++http://www.baidu.com/search/spider.html) - www.birdkernanddalmia.com 200 0 895
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 15:51:18
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 15:51:18 GET / 162.217.174.179 HTTP/1.0 Dispatch/0.11.3 - birdkernanddalmia.com 200 0 6738
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 16:15:04
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 16:15:03 GET /robots.txt 66.249.64.30 HTTP/1.1 Mozilla/5.0+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - www.birdkernanddalmia.com 404 0 5469
2017-06-04 16:15:03 GET / 66.249.64.31 HTTP/1.1 Mozilla/5.0+(Linux;+Android+6.0.1;+Nexus+5X+Build/MMB29P)+AppleWebKit/537.36+(KHTML,+like+Gecko)+Chrome/41.0.2272.96+Mobile+Safari/537.36+(compatible;+Googlebot/2.1;++http://www.google.com/bot.html) - www.birdkernanddalmia.com 200 0 6719
2017-06-04 16:21:23 GET / 108.62.59.66 HTTP/1.1 Dispatch/0.11.3 - birdkernanddalmia.com 200 0 6719
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-06-04 17:12:53
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-06-04 17:12:52 GET /marilynrbird.html 50.185.220.91 HTTP/1.1 Mozilla/5.0+(iPhone;+CPU+iPhone+OS+10_3_2+like+Mac+OS+X)+AppleWebKit/603.2.4+(KHTML,+like+Gecko)+Version/10.0+Mobile/14F89+Safari/602.1 - www.birdkernanddalmia.com 200 0 7428
2017-06-04 17:12:53 GET /apple-touch-icon-120x120-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.5.4+Darwin/16.6.0 - www.birdkernanddalmia.com 404 0 5529
2017-06-04 17:12:53 GET /apple-touch-icon-120x120.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.5.4+Darwin/16.6.0 - www.birdkernanddalmia.com 404 0 5505
2017-06-04 17:12:53 GET /apple-touch-icon-precomposed.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.5.4+Darwin/16.6.0 - www.birdkernanddalmia.com 404 0 5513
2017-06-04 17:12:54 GET /apple-touch-icon.png 50.185.220.91 HTTP/1.1 MobileSafari/602.1+CFNetwork/811.5.4+Darwin/16.6.0 - www.birdkernanddalmia.com 404 0 5489
