#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 00:34:49
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 02:06:07 GET /Images/Vision-Button.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2976
2017-05-01 02:06:08 GET /Scripts/AC_RunActiveContent.js 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 8632
2017-05-01 02:06:08 GET /images/bottombar.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 1870
2017-05-01 02:06:08 GET /Images/Pricing-button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 1950
2017-05-01 02:06:08 GET /Images/Therapy-services-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 1678
2017-05-01 02:06:08 GET /Images/Vision-Button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3077
2017-05-01 02:06:08 GET /Images/Intake-Forms-Button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 4248
2017-05-01 02:06:08 GET /Images/Therapsits-button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3724
2017-05-01 02:06:08 GET /Images/Equipment-button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3955
2017-05-01 02:06:08 GET /Images/Home-button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2981
2017-05-01 02:06:08 GET /Images/Cool-Ideas-button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3763
2017-05-01 02:06:08 GET /Images/Links-Button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2870
2017-05-01 02:06:08 GET /Images/News-Button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 2797
2017-05-01 02:06:08 GET /Images/Contact-Us-Button-MO.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 3920
2017-05-01 02:06:08 GET /Images/contact-us-page-background.jpg 176.195.108.99 HTTP/1.1 Mozilla/5.0+(compatible;+MSIE+10.0;+Windows+NT+6.1;+WOW64;+Trident/6.0;+MAAU) http://www.birdkernanddalmia.com/contactus.cfm www.birdkernanddalmia.com 200 0 7927
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 04:14:19
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 04:14:19 GET /therapists.html 51.255.65.38 HTTP/1.1 Mozilla/5.0+(compatible;+AhrefsBot/5.2;++http://ahrefs.com/robot/) - www.birdkernanddalmia.com 200 0 7299
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 04:35:25
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 04:35:24 GET /images/BKPP.jpg 207.46.13.100 HTTP/1.1 Mozilla/5.0+(compatible;+bingbot/2.0;++http://www.bing.com/bingbot.htm) - www.birdkernanddalmia.com 200 0 213832
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 05:08:03
#Fields: date time cs-method cs-uri-stem c-ip cs-version cs(User-Agent) cs(Referer) cs-host sc-status sc-substatus sc-bytes
2017-05-01 05:08:03 GET / 64.235.153.8 HTTP/1.0 Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+WOW64;+Trident/4.0;+SLCC2;+.NET+CLR+2.0.50727;+.NET+CLR+3.5.30729;+.NET+CLR+3.0.30729) - www.birdkernanddalmia.com 200 0 6738
#Software: Microsoft Internet Information Services 7.5
#Version: 1.0
#Date: 2017-05-01 06:16:38
